"KENNZEICHNUNG_ID";"NAME";"AUSGABESPEISEPLAN";"BUCHSTABE";"GRUPPE";"SORT";"TYP";"STANDARDCODE";"TYPNAME";"HINWEISE"
1;"mit Farbstoff";"J";"";"";1;1;"";"Kennzeichen";""
2;"mit Konservierungsstoff";"J";"";"";2;1;"";"Kennzeichen";""
3;"mit Antioxidationsmittel";"J";"";"";3;1;"";"Kennzeichen";""
4;"mit Geschmacksverstärker";"J";"";"";4;1;"";"Kennzeichen";""
5;"geschwefelt";"J";"";"";5;1;"";"Kennzeichen";""
6;"geschwärzt";"J";"";"";6;1;"";"Kennzeichen";""
7;"gewachst";"J";"";"";7;1;"";"Kennzeichen";""
8;"mit Phosphat";"J";"";"";8;1;"";"Kennzeichen";""
9;"mit Süßungsmitteln";"J";"";"";9;1;"";"Kennzeichen";""
10;"enthält eine Phenylalaninquelle";"J";"";"";10;1;"";"Kennzeichen";""
11;"Artikel aus der Region";"N";"R";"";11;1;"";"Kennzeichen";""
12;"Mensa Vital";"N";"";"";12;1;"";"Kennzeichen";""
13;"Schweinefleisch";"J";"";"";13;1;"";"Kennzeichen";""
14;"Rindfleisch";"J";"";"";14;1;"";"Kennzeichen";""
15;"Alkohol";"J";"";"";15;1;"";"Kennzeichen";""
16;"KlimaTeller";"J";"";"";16;1;"";"Kennzeichen";""
17;"Knoblauch";"J";"";"";17;1;"";"Kennzeichen";""
18;"Fleisch aus artgerechter Tierhaltung";"J";"";"";18;1;"";"Kennzeichen";""
19;"Bio-Erzeugnis DE-ÖKO-039";"N";"";"";19;1;"";"Kennzeichen";""
20;"vegetarisch";"J";"";"";20;1;"";"Kennzeichen";""
21;"vegan";"J";"";"";21;1;"";"Kennzeichen";""
22;"nicht vegan/vegetarisch (tierische Hilfsstoffe)";"N";"";"";22;1;"";"Kennzeichen";""
23;"mit Gelatine (Schwein)";"J";"";"";23;1;"";"Kennzeichen";""
24;"Fisch aus nachhaltiger Fischerei";"J";"";"";24;1;"";"Kennzeichen";""
25;"mit Gelatine (Rind)";"J";"";"";25;1;"";"Kennzeichen";""
26;"Erdnüsse (e)";"J";"e";"";26;1;"AG005";"Kennzeichen";""
27;"Fisch (d)";"J";"d";"";27;1;"AG004";"Kennzeichen";""
28;"Glutenhaltiges Getreide (a)";"J";"a";"";28;1;"AG001";"Kennzeichen";""
29;"Weichtiere (n)";"J";"n";"";29;1;"AG014";"Kennzeichen";""
30;"Hühnerei (c)";"J";"c";"";30;1;"AG003";"Kennzeichen";""
