"id","status","sort","date_created","date_updated","translations"
"about_us","draft",,"2024-03-05T23:02:53.474Z",,"[{""text"":""نبذة عنا"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Über uns"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""About us"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Quiénes somos"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""À propos de nous"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Chi siamo"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Sobre nós"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""О нас"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"accessibility","draft",,"2024-03-05T23:03:12.188Z",,"[{""text"":""إمكانية الوصول"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Barrierefreiheit"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Accessibility"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Accesibilidad"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Accessibilité"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Accessibilità"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Acessibilidade"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Доступность"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"account","draft",,"2024-03-05T22:55:10.772Z",,"[{""text"":""الحساب"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Account"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Account"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Cuenta"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Compte"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Conto"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Conta"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Счет"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"active","draft",,"2024-03-05T22:57:34.649Z",,"[{""text"":""نشط"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Aktiv"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Active"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Activo"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Actif"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Attivo"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Ativo"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Активный"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"allergene","draft",,"2024-03-05T22:56:42.484Z",,"[{""text"":""مسببات الحساسية"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Allergene"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Allergens"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Alérgenos"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Allergènes"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Allergeni"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Alergênicos"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Аллергены"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"animation","draft",,"2024-03-05T22:56:32.947Z",,"[{""text"":""الرسوم المتحركة"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Animation"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Animation"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Animación"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Animation"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Animazione"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Animação"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Анимация"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"anonymous","draft",,"2024-03-05T22:55:19.967Z",,"[{""text"":""مجهول"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Anonym"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Anonymous"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Anónimo"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Anonyme"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Anonimo"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Anônimo"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Аноним"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"are_you_sure_to_delete_your_account","draft",,"2024-03-05T22:55:50.585Z",,"[{""text"":""هل أنت متأكد من رغبتك في حذف حسابك؟"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Sind Sie sicher, dass Sie Ihren Account löschen möchten?"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Are you sure you want to delete your account?"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""¿Seguro que quieres eliminar tu cuenta?"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Êtes-vous sûr de vouloir supprimer votre compte ?"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Sei sicuro di voler cancellare il tuo account?"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Tem certeza de que deseja excluir sua conta?"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Вы уверены, что хотите удалить свою учетную запись?"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"buildings","draft",,"2024-03-05T23:09:38.845Z",,"[{""text"":""البناء"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Gebäude"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Building"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Edificio"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Bâtiment"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Edificio"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Edifício"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Здание"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
"button_disabled","draft",,"2024-03-05T23:10:37.879Z",,"[{""text"":""تم إلغاء تنشيط الزر"",""languages_code"":""ar-SA"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Knopf deaktiviert"",""languages_code"":""de-DE"",""be_source_for_translations"":true,""let_be_translated"":true},{""text"":""Button deactivated"",""languages_code"":""en-US"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Botón desactivado"",""languages_code"":""es-ES"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Bouton désactivé"",""languages_code"":""fr-FR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Pulsante disattivato"",""languages_code"":""it-IT"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Botão desativado"",""languages_code"":""pt-BR"",""be_source_for_translations"":false,""let_be_translated"":true},{""text"":""Кнопка отключена"",""languages_code"":""ru-RU"",""be_source_for_translations"":false,""let_be_translated"":true}]"
