"id","translations"
"accept","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Akzeptieren"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Accept"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Aceptar"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Accepter"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Accettare"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Przyjmij"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Aceitar"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Acceptă"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Принять"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Kabul et"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Прийняти"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""接受"",""languages_code"":""zh-ZH""}]"
"accessibility_next","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Weiter"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Next"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Más información en"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Continuer"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Ulteriori"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Dalej"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Mais"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Mai departe"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Далее"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Daha ileri"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Далі"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""更多"",""languages_code"":""zh-ZH""}]"
"accessibility_previous","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Zurück"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Back"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Volver"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Retour"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Indietro"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Powrót"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Voltar"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Înapoi"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Назад"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Geri"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Назад"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""溯源"",""languages_code"":""zh-ZH""}]"
"account","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Konto"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Account"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Cuenta"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Compte"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Conto"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Konto"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Conta"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Cont"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Счет"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Hesap"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Рахунок"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""帐户"",""languages_code"":""zh-ZH""}]"
"accountBalance","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Guthaben"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Credit"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Crédito"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Avoirs"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Credito"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Kredyt"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Crédito"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Credit"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Кредит"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Kredi"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Кредит"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""信用"",""languages_code"":""zh-ZH""}]"
"alphabetical","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Alphabetisch"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Alphabetical"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Por orden alfabético"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Alphabétique"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""In ordine alfabetico"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Alfabetycznie"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Em ordem alfabética"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Alfabetic"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""По алфавиту"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Alfabetik"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""За алфавітом"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""按字母顺序排列"",""languages_code"":""zh-ZH""}]"
"apartment","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Wohnung"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Apartment"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Apartamento"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Appartement"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Appartamento"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Apartament"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Apartamento"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Detalii privind Apartament"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Квартира"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Daire"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Квартира"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""公寓"",""languages_code"":""zh-ZH""}]"
"attention","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Achtung"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Attention"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Atención"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Attention"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Attenzione"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Uwaga"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Atenção"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Atenție"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Внимание"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Dikkat"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Увага!"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""注意"",""languages_code"":""zh-ZH""}]"
"buildings","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Gebäude"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Building"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Edificio"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Bâtiment"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Edificio"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Budynek"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Construção"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Clădire"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Здание"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Bina"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Будівля"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""建筑物"",""languages_code"":""zh-ZH""}]"
"businesshours","[{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Geschäftszeiten"",""languages_code"":""de-DE""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":true,""markdown"":null,""content"":""Businesshours"",""languages_code"":""en-US""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Horas de trabajo"",""languages_code"":""es-ES""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Heures de travail"",""languages_code"":""fr-FR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Ore di lavoro"",""languages_code"":""it-IT""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Godziny pracy"",""languages_code"":""pl-PL""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Businesshours"",""languages_code"":""pt-BR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Orele de lucru"",""languages_code"":""ro-RO""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Бизнес-часы"",""languages_code"":""ru-RU""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""İş Saatleri"",""languages_code"":""tr-TR""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""Графік роботи"",""languages_code"":""uk-UK""},{""create_translations_for_all_languages"":true,""let_be_translated"":true,""be_source_for_translations"":false,""markdown"":null,""content"":""工作时间"",""languages_code"":""zh-ZH""}]"
