"id","status","sort","user_created","date_created","user_updated","date_updated","translations"
"accept","published",,"4b8b2d92-1241-4195-8906-d3caa23d03c6","2022-09-27T16:47:34.248Z",,,"[{""id"":597,""languages_code"":""de-DE"",""content"":""Akzeptieren"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":598,""languages_code"":""en-US"",""content"":""Accept"",""be_source_for_translations"":true,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":599,""languages_code"":""es-ES"",""content"":""Aceptar"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":600,""languages_code"":""fr-FR"",""content"":""Accepter"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":601,""languages_code"":""it-IT"",""content"":""Accettare"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":602,""languages_code"":""pl-PL"",""content"":""Przyjmij"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":603,""languages_code"":""pt-BR"",""content"":""Aceitar"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":604,""languages_code"":""ro-RO"",""content"":""Acceptă"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":605,""languages_code"":""ru-RU"",""content"":""Принять"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":606,""languages_code"":""tr-TR"",""content"":""Kabul et"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":607,""languages_code"":""uk-UK"",""content"":""Прийняти"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":608,""languages_code"":""zh-ZH"",""content"":""接受"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true}]"
"account","published",,"4b8b2d92-1241-4195-8906-d3caa23d03c6","2022-09-26T15:11:15.544Z",,,"[{""id"":141,""languages_code"":""de-DE"",""content"":""Konto"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":142,""languages_code"":""en-US"",""content"":""Account"",""be_source_for_translations"":true,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":143,""languages_code"":""es-ES"",""content"":""Cuenta"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":144,""languages_code"":""fr-FR"",""content"":""Compte"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":145,""languages_code"":""it-IT"",""content"":""Conto"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":146,""languages_code"":""pl-PL"",""content"":""Konto"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":147,""languages_code"":""pt-BR"",""content"":""Conta"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":148,""languages_code"":""ro-RO"",""content"":""Cont"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":149,""languages_code"":""ru-RU"",""content"":""Счет"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":150,""languages_code"":""tr-TR"",""content"":""Hesap"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":151,""languages_code"":""uk-UK"",""content"":""Рахунок"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":152,""languages_code"":""zh-ZH"",""content"":""帐户"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true}]"
"accountBalance","published",,"4b8b2d92-1241-4195-8906-d3caa23d03c6","2022-09-26T15:21:23.241Z",,,"[{""id"":621,""languages_code"":""de-DE"",""content"":""Guthaben"",""be_source_for_translations"":true,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":622,""languages_code"":""en-US"",""content"":""Credit"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":623,""languages_code"":""es-ES"",""content"":""Crédito"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":624,""languages_code"":""fr-FR"",""content"":""Avoirs"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":625,""languages_code"":""it-IT"",""content"":""Credito"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":626,""languages_code"":""pl-PL"",""content"":""Kredyt"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":627,""languages_code"":""pt-BR"",""content"":""Crédito"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":628,""languages_code"":""ro-RO"",""content"":""Credit"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":629,""languages_code"":""ru-RU"",""content"":""Кредит"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":630,""languages_code"":""tr-TR"",""content"":""Kredi"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":631,""languages_code"":""uk-UK"",""content"":""Кредит"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":632,""languages_code"":""zh-ZH"",""content"":""信用"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true}]"
"cancel","published",,"4b8b2d92-1241-4195-8906-d3caa23d03c6","2022-09-26T15:11:00.441Z",,,"[{""id"":129,""languages_code"":""de-DE"",""content"":""Abbrechen"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":130,""languages_code"":""en-US"",""content"":""Cancel"",""be_source_for_translations"":true,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":131,""languages_code"":""es-ES"",""content"":""Cancelar"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":132,""languages_code"":""fr-FR"",""content"":""Annuler"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":133,""languages_code"":""it-IT"",""content"":""Annullamento"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":134,""languages_code"":""pl-PL"",""content"":""Anuluj"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":135,""languages_code"":""pt-BR"",""content"":""Cancelar"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":136,""languages_code"":""ro-RO"",""content"":""Anulează"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":137,""languages_code"":""ru-RU"",""content"":""Отмена"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":138,""languages_code"":""tr-TR"",""content"":""İptal"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":139,""languages_code"":""uk-UK"",""content"":""Скасувати"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":140,""languages_code"":""zh-ZH"",""content"":""取消"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true}]"
"comments","published",,"4b8b2d92-1241-4195-8906-d3caa23d03c6","2022-09-26T15:13:41.732Z",,,"[{""id"":213,""languages_code"":""de-DE"",""content"":""Kommentare"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":214,""languages_code"":""en-US"",""content"":""Comments"",""be_source_for_translations"":true,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":215,""languages_code"":""es-ES"",""content"":""Comentarios"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":216,""languages_code"":""fr-FR"",""content"":""Commentaires"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":217,""languages_code"":""it-IT"",""content"":""Commenti"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":218,""languages_code"":""pl-PL"",""content"":""Uwagi"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":219,""languages_code"":""pt-BR"",""content"":""Comentários"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":220,""languages_code"":""ro-RO"",""content"":""Comentarii"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":221,""languages_code"":""ru-RU"",""content"":""Комментарии"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":222,""languages_code"":""tr-TR"",""content"":""Yorumlar"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":223,""languages_code"":""uk-UK"",""content"":""Коментарі"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":224,""languages_code"":""zh-ZH"",""content"":""评论"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true}]"
"commentsBeTheFirstToComment","published",,"4b8b2d92-1241-4195-8906-d3caa23d03c6","2022-09-26T15:13:55.226Z",,,"[{""id"":225,""languages_code"":""de-DE"",""content"":""Seien Sie der Erste, der einen Kommentar schreibt"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":226,""languages_code"":""en-US"",""content"":""Be the first to write a comment"",""be_source_for_translations"":true,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":227,""languages_code"":""es-ES"",""content"":""Sea el primero en escribir un comentario"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":228,""languages_code"":""fr-FR"",""content"":""Soyez le premier à écrire un commentaire"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":229,""languages_code"":""it-IT"",""content"":""Sii il primo a scrivere un commento"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":230,""languages_code"":""pl-PL"",""content"":""Bądź pierwszym, który napisze komentarz"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":231,""languages_code"":""pt-BR"",""content"":""Seja o primeiro a escrever um comentário"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":232,""languages_code"":""ro-RO"",""content"":""Fii primul care scrie un comentariu"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":233,""languages_code"":""ru-RU"",""content"":""Будьте первым, кто напишет комментарий"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":234,""languages_code"":""tr-TR"",""content"":""İlk yorum yazan siz olun"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":235,""languages_code"":""uk-UK"",""content"":""Будьте першим, хто напише коментар"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":236,""languages_code"":""zh-ZH"",""content"":""成为第一个写评论的人"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true}]"
"commentsOtherReadingDisabled","published",,"4b8b2d92-1241-4195-8906-d3caa23d03c6","2022-09-26T15:14:33.311Z",,,"[{""id"":261,""languages_code"":""de-DE"",""content"":""Lesen anderer Kommentare deaktiviert. Wir versuchen dennoch, alle Kommentare zu lesen."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":262,""languages_code"":""en-US"",""content"":""Reading other comments disabled. We still try to read all comments."",""be_source_for_translations"":true,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":263,""languages_code"":""es-ES"",""content"":""Lectura de otros comentarios desactivada. Seguimos intentando leer todos los comentarios."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":264,""languages_code"":""fr-FR"",""content"":""La lecture des autres commentaires est désactivée. Nous essayons toujours de lire tous les commentaires."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":265,""languages_code"":""it-IT"",""content"":""La lettura di altri commenti è stata disabilitata. Cerchiamo comunque di leggere tutti i commenti."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":266,""languages_code"":""pl-PL"",""content"":""Czytanie innych komentarzy wyłączone. Nadal staramy się czytać wszystkie komentarze."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":267,""languages_code"":""pt-BR"",""content"":""Leitura de outros comentários desativados. Ainda tentamos ler todos os comentários."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":268,""languages_code"":""ro-RO"",""content"":""Citirea altor comentarii este dezactivată. Încercăm totuși să citim toate comentariile."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":269,""languages_code"":""ru-RU"",""content"":""Чтение других комментариев отключено. Мы по-прежнему стараемся читать все комментарии."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":270,""languages_code"":""tr-TR"",""content"":""Diğer yorumları okuma devre dışı bırakıldı. Yine de tüm yorumları okumaya çalışıyoruz."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":271,""languages_code"":""uk-UK"",""content"":""Читання інших коментарів відключено. Ми все ще намагаємося читати всі коментарі."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":272,""languages_code"":""zh-ZH"",""content"":""禁止阅读其他评论。我们仍然尝试阅读所有的评论。"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true}]"
"commentsWriteAComment","published",,"4b8b2d92-1241-4195-8906-d3caa23d03c6","2022-09-26T15:14:43.658Z",,,"[{""id"":273,""languages_code"":""de-DE"",""content"":""Einen Kommentar schreiben"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":274,""languages_code"":""en-US"",""content"":""Write a comment"",""be_source_for_translations"":true,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":275,""languages_code"":""es-ES"",""content"":""Escribe un comentario"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":276,""languages_code"":""fr-FR"",""content"":""Écrire un commentaire"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":277,""languages_code"":""it-IT"",""content"":""Scrivi un commento"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":278,""languages_code"":""pl-PL"",""content"":""Napisz komentarz"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":279,""languages_code"":""pt-BR"",""content"":""Escreva um comentário"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":280,""languages_code"":""ro-RO"",""content"":""Scrieți un comentariu"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":281,""languages_code"":""ru-RU"",""content"":""Написать комментарий"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":282,""languages_code"":""tr-TR"",""content"":""Bir yorum yazın"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":283,""languages_code"":""uk-UK"",""content"":""Написати коментар"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":284,""languages_code"":""zh-ZH"",""content"":""撰写评论"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true}]"
"commentsWritingCommentsDisabled","published",,"4b8b2d92-1241-4195-8906-d3caa23d03c6","2022-09-26T15:14:54.970Z",,,"[{""id"":285,""languages_code"":""de-DE"",""content"":""Das Schreiben von Kommentaren ist deaktiviert."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":286,""languages_code"":""en-US"",""content"":""Writing comments is disabled."",""be_source_for_translations"":true,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":287,""languages_code"":""es-ES"",""content"":""La escritura de comentarios está desactivada."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":288,""languages_code"":""fr-FR"",""content"":""L'écriture de commentaires est désactivée."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":289,""languages_code"":""it-IT"",""content"":""La scrittura dei commenti è disabilitata."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":290,""languages_code"":""pl-PL"",""content"":""Pisanie komentarzy jest wyłączone."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":291,""languages_code"":""pt-BR"",""content"":""Os comentários escritos estão desativados."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":292,""languages_code"":""ro-RO"",""content"":""Scrierea de comentarii este dezactivată."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":293,""languages_code"":""ru-RU"",""content"":""Написание комментариев отключено."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":294,""languages_code"":""tr-TR"",""content"":""Yorum yazma devre dışı bırakılmıştır."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":295,""languages_code"":""uk-UK"",""content"":""Написання коментарів відключено."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":296,""languages_code"":""zh-ZH"",""content"":""写评论是禁用的。"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true}]"
"copy","published",,"4b8b2d92-1241-4195-8906-d3caa23d03c6","2022-09-26T15:08:28.153Z",,,"[{""id"":57,""languages_code"":""de-DE"",""content"":""Kopieren"",""be_source_for_translations"":true,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":58,""languages_code"":""en-US"",""content"":""Copy"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":59,""languages_code"":""es-ES"",""content"":""Copiar"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":60,""languages_code"":""fr-FR"",""content"":""Copier"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":61,""languages_code"":""it-IT"",""content"":""Copia"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":62,""languages_code"":""pl-PL"",""content"":""Kopia"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":63,""languages_code"":""pt-BR"",""content"":""Cópia"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":64,""languages_code"":""ro-RO"",""content"":""Copiați"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":65,""languages_code"":""ru-RU"",""content"":""Копировать"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":66,""languages_code"":""tr-TR"",""content"":""Anlaşıldı"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":67,""languages_code"":""uk-UK"",""content"":""Прийом."",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true},{""id"":68,""languages_code"":""zh-ZH"",""content"":""拷贝"",""be_source_for_translations"":false,""let_be_translated"":true,""create_translations_for_all_languages"":true}]"
