Key,Message,Component,Line
"AZ0cP4wTSUO5CDbnER0T","Prefer `Number.parseInt` over `parseInt`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/h3core.js",242
"AZ0cP4wTSUO5CDbnER0U","Prefer `Number.parseInt` over `parseInt`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/h3core.js",243
"AZ0cP4wTSUO5CDbnER0V","Prefer `Number.parseInt` over `parseInt`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/h3core.js",261
"AZ0cP4wTSUO5CDbnER0W","Use `Math.trunc` instead of `| 0`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/h3core.js",307
"AZ0cP4wTSUO5CDbnER0X","Use `Math.trunc` instead of `| 0`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/h3core.js",307
"AZ0cP4wTSUO5CDbnER0a","Remove this ""==="" check; it will always be false. Did you mean to use ""==""?","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/h3core.js",785
"AZ0cP4sOSUO5CDbnEPxL","Use `Math.trunc` instead of `>> 0`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",181
"AZ0cP4sOSUO5CDbnEPxM","Use `Math.trunc` instead of `>> 0`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",184
"AZ0cP4sOSUO5CDbnEPxO","Use `Math.trunc` instead of `| 0`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",193
"AZ0cP4sOSUO5CDbnEPxP","Use `Math.trunc` instead of `~~`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",193
"AZ0cP4sOSUO5CDbnEPxQ","Use `Math.trunc` instead of `~~`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",193
"AZ0cP4sOSUO5CDbnEPxS","Use `Math.trunc` instead of `>> 0`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",210
"AZ0cP4sOSUO5CDbnEPxT","Use `Math.trunc` instead of `>> 0`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",212
"AZ0cP4sOSUO5CDbnEPxs","Prefer `String.fromCodePoint()` over `String.fromCharCode()`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",305
"AZ0cP4sOSUO5CDbnEPxu","Prefer `String.fromCodePoint()` over `String.fromCharCode()`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",310
"AZ0cP4sOSUO5CDbnEPxw","Prefer `String.fromCodePoint()` over `String.fromCharCode()`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",320
"AZ0cP4sOSUO5CDbnEPxy","Prefer `String.fromCodePoint()` over `String.fromCharCode()`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",323
"AZ0cP4sOSUO5CDbnEPx5","Prefer `String#codePointAt()` over `String#charCodeAt()`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",337
"AZ0cP4sOSUO5CDbnEPx7","Prefer `String#codePointAt()` over `String#charCodeAt()`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",339
"AZ0cP4sOSUO5CDbnEPys","Prefer `String.fromCodePoint()` over `String.fromCharCode()`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",579
"AZ0cP4sOSUO5CDbnEPy2","Prefer `String.fromCodePoint()` over `String.fromCharCode()`.","rocket-meals_rocket-meals:apps/geonexia/frontend/helpers/h3/libh3.js",598
